frame_idx,match_rank,distance,kl1_sx,kl1_sy,kl1_ex,kl1_ey,kl1_angle,kl1_length,kl2_sx,kl2_sy,kl2_ex,kl2_ey,kl2_angle,kl2_length
1,0,12.0,813.07,90.58,837.91,784.34,1.5350,694.20,820.16,244.31,843.51,935.61,1.5370,691.70
1,1,3.0,231.92,63.08,781.94,81.18,0.0329,550.32,235.63,61.86,781.95,79.61,0.0325,546.61
1,2,17.0,1239.46,526.88,1249.71,0.61,-1.5513,526.37,1240.24,559.37,1250.87,0.61,-1.5518,558.86
1,3,11.0,805.11,479.35,819.64,938.16,1.5391,459.03,808.95,554.35,820.57,936.91,1.5404,382.74
1,4,9.0,806.61,0.59,822.30,424.36,1.5338,424.06,807.80,0.59,814.65,190.61,1.5347,190.15
1,5,5.0,844.24,937.06,1216.79,889.95,-0.1258,375.52,845.48,935.76,1218.03,888.62,-0.1259,375.52
1,6,5.0,1568.25,655.21,1918.57,760.40,0.2917,365.77,1571.79,654.64,1918.30,758.78,0.2919,361.82
1,7,14.0,1575.94,624.45,1918.45,715.64,0.2602,354.45,1578.36,623.50,1918.52,714.13,0.2604,352.03
1,8,10.0,1576.05,613.96,1918.46,701.83,0.2512,353.50,1577.30,612.70,1918.51,700.37,0.2515,352.29
1,9,8.0,1575.67,607.94,1918.58,693.81,0.2454,353.50,1577.21,606.79,1918.65,692.26,0.2453,351.98
1,10,10.0,1577.27,604.04,1918.43,688.14,0.2417,351.38,1578.51,602.80,1918.49,686.64,0.2418,350.16
1,11,5.0,1577.30,593.81,1918.37,674.59,0.2325,350.50,1579.74,592.82,1918.43,673.10,0.2327,348.07
1,12,5.0,1578.23,583.91,1918.39,660.69,0.2220,348.72,1579.49,582.62,1918.44,659.24,0.2223,347.50
1,13,8.0,1577.33,346.95,1593.21,0.57,-1.5250,346.75,1578.69,344.46,1589.50,124.32,-1.5217,220.41
1,14,7.0,1579.70,574.14,1918.29,647.35,0.2129,346.42,1584.53,573.64,1918.33,645.93,0.2133,341.53
1,15,5.0,1583.30,564.75,1918.28,633.61,0.2027,341.98,1584.56,563.49,1918.33,632.14,0.2028,340.76
1,16,13.0,1583.08,558.37,1918.49,625.03,0.1962,341.98,1585.79,557.31,1918.53,623.58,0.1966,339.28
1,17,6.0,1580.95,340.64,1596.82,0.62,-1.5242,340.39,1585.21,286.91,1598.27,0.63,-1.5252,286.58
1,18,11.0,1584.36,544.47,1918.45,606.38,0.1832,339.78,1585.84,543.23,1918.26,604.89,0.1834,338.09
1,19,7.0,1584.43,524.07,1918.22,578.82,0.1626,338.25,1586.90,522.97,1918.24,577.42,0.1629,335.78
1,20,4.0,1584.49,503.54,1918.38,551.34,0.1422,337.29,1585.75,502.24,1918.23,549.89,0.1424,335.88
1,21,7.0,1584.54,483.05,1918.34,523.83,0.1216,336.29,1587.02,481.91,1918.22,522.39,0.1216,333.66
1,22,8.0,1584.44,462.43,1918.20,496.17,0.1007,335.45,1585.70,461.12,1918.21,494.75,0.1008,334.21
1,23,6.0,784.99,0.55,798.94,335.64,1.5292,335.39,786.01,0.56,796.83,255.68,1.5284,255.35
1,24,20.0,1585.62,414.51,1918.22,431.14,0.0500,333.02,1589.43,413.24,1918.23,429.75,0.0502,329.21
1,25,9.0,1586.88,431.75,1918.19,454.72,0.0692,332.10,1589.38,430.50,1918.20,453.34,0.0693,329.61
1,26,9.0,1598.09,101.73,1918.36,16.51,-0.2601,331.42,1599.58,100.16,1918.37,15.30,-0.2602,329.89
1,27,14.0,1598.00,116.39,1918.44,35.64,-0.2469,330.46,1600.46,103.75,1918.65,20.12,-0.2570,329.00
1,28,10.0,1599.26,105.20,1918.63,21.31,-0.2569,330.20,1600.46,103.75,1918.65,20.12,-0.2570,329.00
1,29,7.0,1596.93,134.59,1918.47,59.61,-0.2291,330.17,1599.03,132.91,1918.47,58.34,-0.2293,328.02
1,30,8.0,1596.95,138.46,1918.41,64.38,-0.2265,329.89,1599.34,136.72,1918.41,63.12,-0.2267,327.45
1,31,3.0,1596.53,145.33,1918.56,73.84,-0.2185,329.87,1598.26,143.75,1918.56,72.58,-0.2186,328.11
1,32,8.0,1597.90,123.46,1918.35,45.29,-0.2393,329.84,1599.10,121.98,1918.35,44.05,-0.2394,328.63
1,33,6.0,1600.79,89.99,1918.56,2.22,-0.2695,329.67,1600.50,88.91,1918.26,1.10,-0.2696,329.67
1,34,8.0,1595.70,167.23,1918.50,102.47,-0.1980,329.23,1597.86,165.56,1918.49,101.20,-0.1981,327.03
1,35,11.0,1589.35,327.52,1918.15,315.09,-0.0378,329.03,1591.81,315.54,1918.20,299.61,-0.0488,326.78
1,36,24.0,1590.62,358.91,1918.13,357.04,-0.0057,327.52,1591.87,357.45,1918.13,355.81,-0.0050,326.26
1,37,19.0,1590.62,362.70,1918.13,361.72,-0.0030,327.51,1590.63,371.40,1918.15,374.22,0.0086,327.53
1,38,11.0,1592.99,253.22,1918.31,216.02,-0.1139,327.44,1594.22,251.78,1918.30,214.67,-0.1140,326.20
1,39,10.0,1594.20,231.83,1918.42,187.78,-0.1350,327.20,1595.49,219.68,1918.38,172.36,-0.1455,326.34
1,40,10.0,1593.13,295.69,1918.19,272.73,-0.0705,325.87,1595.52,294.18,1918.18,271.38,-0.0705,323.46
1,41,8.0,1593.08,309.80,1918.24,291.49,-0.0563,325.68,1594.39,308.40,1918.24,290.12,-0.0564,324.36
1,42,21.0,1572.72,975.71,1584.89,664.40,-1.5317,311.55,1575.96,919.44,1586.39,663.16,-1.5301,256.50
1,43,18.0,1623.42,668.37,1918.46,755.73,0.2879,307.70,1624.61,667.33,1787.04,715.05,0.2857,169.30
1,44,5.0,1623.61,663.95,1918.72,749.83,0.2832,307.35,1626.00,663.08,1918.80,748.32,0.2833,304.95
1,45,12.0,1628.20,649.11,1918.67,729.90,0.2713,301.50,1630.61,648.19,1918.43,728.27,0.2714,298.76
1,46,6.0,1629.16,660.11,1918.72,743.57,0.2806,301.34,1629.91,658.77,1918.79,742.05,0.2807,300.65
